"ParticipantId","Event.Nr","CDA.nSCR","CDA.Latency","CDA.AmpSum","CDA.SCR","CDA.ISCR","CDA.PhasicMax","CDA.Tonic","TTP.nSCR","TTP.Latency","TTP.AmpSum","Global.Mean","Global.MaxDeflection","Event.Name","EmoId","ExpId","VideoId","Participant","Sex","Age","Language","RepId","Tonic","transfCDA.SCR","hand","Repeated"
"001m24ee",12,1,2.937,0.0375,0.0067,0.3234,0.2539,2.2327,1,"2.375",0.039,2.244,0.0344,3,"Sad","Face",1344,1,"m",24,"ee",2,2.2327,0.6061882029171584,"L",FALSE
"001m24ee",13,1,3.125,0.0544,0.0058,0.2775,0.2778,2.224,1,"2.75",0.042,2.2441,0.0295,1,"Anger","Face",1344,1,"m",24,"ee",2,2.224,0.5975067273103847,"L",FALSE
"001m24ee",14,1,3.312,0.0103,0.0012,0.0578,0.0963,2.1904,1,"3.125",0.0333,2.1928,0.0059,4,"Neutral","Face",1344,1,"m",24,"ee",2,2.1904,0.510408766058867,"L",FALSE
"001m24ee",15,1,3.438,0.0646,0.0067,0.3202,0.3323,2.1868,1,"2.563",0.0665,2.1949,0.0355,3,"Sad","Face",1344,1,"m",24,"ee",3,2.1868,0.6061882029171584,"L",FALSE
"001m24ee",16,1,3.437,0.1275,0.0167,0.8032,0.7831,2.1828,1,"2.375",0.1532,2.2171,0.0953,2,"Happy","Face",1344,1,"m",24,"ee",3,2.1828,0.6641583653192603,"L",FALSE
"001m24ee",17,1,3.5,0.0605,0.006,0.2877,0.2745,2.1755,1,"3.125",0.0377,2.2354,0.0155,1,"Anger","Face",1344,1,"m",24,"ee",3,2.1755,0.5995358053309262,"L",FALSE
"001m24ee",18,3,1.562,0.0607,0.0069,0.3312,0.21,2.148,1,"2.75",0.0161,2.2025,0.0204,4,"Neutral","Face",1344,1,"m",24,"ee",3,2.148,0.6079738628108905,"L",FALSE
"001m24ee",19,1,3.437,0.0426,0.0047,0.2275,0.2466,2.1578,1,"2.437",0.1183,2.1676,0.0333,7,"Surprise","Face",1344,1,"m",24,"ee",3,2.1578,0.5850726350222432,"L",FALSE
"001m24ee",20,1,3.687,0.0569,0.0051,0.2444,0.2754,2.1744,1,"3.312",0.0299,2.2446,0.0101,5,"Disgust","Face",1344,1,"m",24,"ee",3,2.1744,0.5898709623255785,"L",FALSE
"001m24ee",21,3,1.187,0.1383,0.0222,1.0641,1.1055,2.1183,2,"1.312",0.0908,2.1536,0.0728,6,"Fear","Face",1344,1,"m",24,"ee",3,2.1183,0.6833375676265107,"L",FALSE
"001m24ee",22,4,1.375,0.1086,0.0125,0.5994,0.3168,2.059,0,NA,0,2.1834,0.0423,1,"Anger","Face",1344,1,"m",24,"ee",4,2.059,0.645195012148216,"L",FALSE
"001m24ee",23,2,3.25,0.1965,0.0225,1.0793,0.5053,2.0155,1,"1.812",0.0756,2.2161,0.0555,4,"Neutral","Face",1344,1,"m",24,"ee",4,2.0155,0.6842554289186317,"L",FALSE
"001m24ee",24,3,1.687,0.0697,0.0138,0.6646,0.3731,2.0062,2,"1.25",0.0232,2.1854,0.0137,5,"Disgust","Face",1344,1,"m",24,"ee",4,2.0062,0.6516102520763933,"L",FALSE
"001m24ee",26,2,2.188,0.2217,0.0192,0.9225,2.5156,2.0008,1,"2.125",0.1388,2.2422,0.1265,2,"Happy","Face",1344,1,"m",24,"ee",4,2.0008,0.6734884045425065,"L",FALSE
"001m24ee",27,1,3,0.1338,0.019,0.9097,1.8011,2.0059,2,"1.75",0.1415,2.2387,0.099,3,"Sad","Face",1344,1,"m",24,"ee",4,2.0059,0.6727835437432407,"L",FALSE
"001m24ee",28,1,3.062,0.0164,0.0048,0.2317,0.6247,2.1251,0,NA,0,2.2174,0.0031,6,"Fear","Face",1344,1,"m",24,"ee",4,2.1251,0.5863057099478869,"L",FALSE
"001m24ee",30,1,3.5,0.0401,0.0038,0.1829,0.191,2.204,1,"2.937",0.0247,2.2345,0.0136,2,"Happy","Face",1344,1,"m",24,"ee",5,2.204,0.5727674900036294,"L",FALSE
"001m24ee",31,2,1.562,0.0242,0.0046,0.2185,0.3004,2.1579,0,NA,0,2.2056,5e-4,6,"Fear","Face",1344,1,"m",24,"ee",5,2.1579,0.5838157178668162,"L",FALSE
"001m24ee",32,2,2.75,0.0982,0.0057,0.2718,1.0267,2.0506,0,NA,0,2.2349,0.0097,4,"Neutral","Face",1344,1,"m",24,"ee",5,2.0506,0.5964684621071551,"L",FALSE
"001m24ee",33,2,2.75,0.1582,0.029,1.3908,0.7854,1.9568,1,"1.187",0.0563,2.2921,0.0502,5,"Disgust","Face",1344,1,"m",24,"ee",5,1.9568,0.7018427205213053,"L",FALSE
"001m24ee",34,3,1.375,0.0999,0.013,0.6255,0.6983,2.0291,0,NA,0,2.2561,0.0401,3,"Sad","Face",1344,1,"m",24,"ee",5,2.0291,0.6477304818945521,"L",FALSE
"001m24ee",36,2,1.313,0.0669,0.007,0.3364,0.4783,2.1679,2,"1.125",0.0738,2.2408,0.0255,6,"Fear","Face",1344,1,"m",24,"ee",6,2.1679,0.6088492901034993,"L",FALSE
"001m24ee",37,3,1.563,0.1802,0.0147,0.7038,0.5332,2.2138,2,"1.438",0.1088,2.318,0.0437,2,"Happy","Face",1344,1,"m",24,"ee",6,2.2138,0.6557400862598193,"L",FALSE
"001m24ee",38,1,2.75,0.0169,0.0013,0.0611,0.1651,2.1615,0,NA,0,2.2707,0.0095,7,"Surprise","Face",1344,1,"m",24,"ee",6,2.1615,0.5145106102604077,"L",FALSE
"001m24ee",39,0,NA,0,0.0021,0.1024,0.0821,2.2113,0,NA,0,2.2835,0.0022,1,"Anger","Face",1344,1,"m",24,"ee",6,2.2113,0.5397863891000024,"L",FALSE
"001m24ee",40,2,1.813,0.0564,0.0047,0.2234,0.3691,2.2667,1,"1.75",0.053900000000000003,2.2825,0.0366,4,"Neutral","Face",1344,1,"m",24,"ee",6,2.2667,0.5850726350222432,"L",FALSE
"001m24ee",41,0,NA,0,0.0031,0.1466,0.5503,2.2625,0,NA,0,2.2887,0.0172,3,"Sad","Face",1344,1,"m",24,"ee",6,2.2625,0.5612239154890168,"L",FALSE
"001m24ee",42,1,4,0.0179,0.0017,0.082,0.1478,2.2043,0,NA,0,2.2469,0.0032,5,"Disgust","Face",1344,1,"m",24,"ee",6,2.2043,0.5284998789100136,"L",FALSE
"001m24ee",43,1,2.75,0.1868,0.0232,1.1158,0.8691,2.1813,1,"1.875",0.1859,2.292,0.151,11,"Neutral","Word",1344,1,"m",24,"ee",1,2.1813,0.6863549947611008,"L",FALSE
"001m24ee",44,2,1.75,0.14,0.0108,0.5171,0.3795,2.2562,1,"2.687",0.0753,2.3056,0.031,14,"Surprise","Word",1344,1,"m",24,"ee",1,2.2562,0.6358319917305091,"L",FALSE
"001m24ee",45,3,1.625,0.0721,0.0014,0.0675,2.0287,2.2084,1,"1.687",0.073,2.2749,0.051,12,"Disgust","Word",1344,1,"m",24,"ee",1,2.2084,0.5183377074635478,"L",FALSE
"001m24ee",46,2,1.688,0.0302,0.0104,0.498,0.3318,2.2408,1,"1.625",0.1008,2.3709,0.0331,8,"Anger","Word",1344,1,"m",24,"ee",1,2.2408,0.6334368634287845,"L",FALSE
"001m24ee",47,2,2.75,0.0642,0.0077,0.3699,0.3141,2.3429,1,"2.5",0.0665,2.3957,0.0443,13,"Fear","Word",1344,1,"m",24,"ee",1,2.3429,0.6146799857288243,"L",FALSE
"001m24ee",48,2,2.937,0.0387,0.0057,0.2712,0.2685,2.3729,1,"2.875",0.0501,2.3977,0.019,9,"Happy","Word",1344,1,"m",24,"ee",1,2.3729,0.5964684621071551,"L",FALSE
"001m24ee",49,2,2.313,0.032,0.0023,0.1106,0.2396,2.3527,0,NA,0,2.4327,4e-4,10,"Sad","Word",1344,1,"m",24,"ee",1,2.3527,0.5447193257474843,"L",FALSE
"001m24ee",50,0,NA,0,0.0012,0.0553,0.315,2.3176,0,NA,0,2.3239,2e-4,8,"Anger","Word",1344,1,"m",24,"ee",2,2.3176,0.510408766058867,"L",FALSE
"001m24ee",51,1,3.813,0.0395,0.0045,0.2138,0.1378,2.2679,1,"3.063",0.0182,2.2946,0.0046,11,"Neutral","Word",1344,1,"m",24,"ee",2,2.2679,0.5825339638400141,"L",FALSE
"001m24ee",53,3,2,0.0472,0.0058,0.2783,0.2841,2.2537,0,NA,0,2.4497,0.0022,9,"Happy","Word",1344,1,"m",24,"ee",2,2.2537,0.5975067273103847,"L",FALSE
"001m24ee",55,1,3.937,0.021,0.0028,0.136,0.113,2.2784,1,"2.062",0.0171,2.3113,0.0188,14,"Surprise","Word",1344,1,"m",24,"ee",2,2.2784,0.5555405994913308,"L",FALSE
"001m24ee",56,0,NA,0,0.0023,0.1087,0.1764,2.2921,0,NA,0,2.3315,0.008,10,"Sad","Word",1344,1,"m",24,"ee",2,2.2921,0.5447193257474843,"L",FALSE
"001m24ee",57,0,NA,0,0.0013,0.0629,0.0485,2.3372,0,NA,0,2.4236,0,14,"Surprise","Word",1344,1,"m",24,"ee",3,2.3372,0.5145106102604077,"L",FALSE
"001m24ee",61,1,2.75,0.0181,0.0067,0.3213,0.5249,2.2759,1,"2",0.184,2.2958,0.0317,10,"Sad","Word",1344,1,"m",24,"ee",3,2.2759,0.6061882029171584,"L",FALSE
"001m24ee",62,1,3.688,0.0136,0.0021,0.0993,0.3686,2.3173,0,NA,0,2.3938,0.0079,12,"Disgust","Word",1344,1,"m",24,"ee",3,2.3173,0.5397863891000024,"L",FALSE
"001m24ee",64,1,3.187,0.0559,0.0063,0.304,0.2319,2.3156,1,"2.437",0.0578,2.3211,0.035,8,"Anger","Word",1344,1,"m",24,"ee",4,2.3156,0.6024680979025948,"L",FALSE
"001m24ee",65,0,NA,0,0.0011,0.0549,0.0467,2.3094,0,NA,0,2.3352,6e-4,12,"Disgust","Word",1344,1,"m",24,"ee",4,2.3094,0.5059868946568229,"L",FALSE
"001m24ee",66,1,2.875,0.0143,0.0022,0.1032,0.0884,2.308,1,"2.5",0.0173,2.3161,0.0121,9,"Happy","Word",1344,1,"m",24,"ee",4,2.308,0.5423033260843296,"L",FALSE
"001m24ee",68,0,NA,0,0.0023,0.11,0.081,2.2826,0,NA,0,2.3527,0.0016,13,"Fear","Word",1344,1,"m",24,"ee",4,2.2826,0.5447193257474843,"L",FALSE
"001m24ee",71,1,3,0.0482,0.0056,0.2669,0.2012,2.2568,1,"2.25",0.0489,2.269,0.0361,9,"Happy","Word",1344,1,"m",24,"ee",5,2.2568,0.5954136718963117,"L",FALSE
"001m24ee",73,0,NA,0,0.0014,0.0692,0.0495,2.2776,0,NA,0,2.3681,0,8,"Anger","Word",1344,1,"m",24,"ee",5,2.2776,0.5183377074635478,"L",FALSE
"001m24ee",76,0,NA,0,0.0012,0.0561,0.1034,2.2383,0,NA,0,2.2466,0.0019,12,"Disgust","Word",1344,1,"m",24,"ee",5,2.2383,0.510408766058867,"L",FALSE
"001m24ee",77,1,3.25,0.0122,0.0019,0.0894,0.4046,2.1949,0,NA,0,2.2196,0.0117,14,"Surprise","Word",1344,1,"m",24,"ee",5,2.1949,0.5344109646531148,"L",FALSE
"001m24ee",78,2,2.813,0.0467,0.0065,0.3141,0.2188,2.1815,1,"2.25",0.0461,2.2355,0.0269,12,"Disgust","Word",1344,1,"m",24,"ee",6,2.1815,0.6043539092316518,"L",FALSE
"001m24ee",79,0,NA,0,0.0037,0.1757,0.4086,2.1837,0,NA,0,2.2176,0.0058,14,"Surprise","Word",1344,1,"m",24,"ee",6,2.1837,0.571242054447909,"L",FALSE
"001m24ee",82,0,NA,0,0.0012,0.0593,0.1084,2.169,0,NA,0,2.1714,0.0055,8,"Anger","Word",1344,1,"m",24,"ee",6,2.169,0.510408766058867,"L",FALSE
"001m24ee",83,0,NA,0,0.0015,0.0717,0.2246,2.1537,1,"3.5",0.1031,2.1612,0.0077,13,"Fear","Word",1344,1,"m",24,"ee",6,2.1537,0.5219262330470332,"L",FALSE
"004f19ru",1,2,2.5,0.5853,0.0742,3.5606,3.5657,5.2301,1,"2",0.4202,5.8667,0.4186,1,"Anger","Face",1351,4,"f",19,"ru",1,5.2301,0.7709751684466247,"R",FALSE
"004f19ru",2,1,2.563,0.5366,0.0696,3.3411,3.0012,5.4181,1,"1.938",0.4832,5.7185,0.4669,2,"Happy","Face",1351,4,"f",19,"ru",1,5.4181,0.7660567152667838,"R",FALSE
"004f19ru",3,2,2.688,0.3009,0.0392,1.8811,1.5695,5.4473,1,"2.188",0.2331,5.6673,0.2113,3,"Sad","Face",1351,4,"f",19,"ru",1,5.4473,0.7233168906325086,"R",FALSE
"004f19ru",4,1,2.5,0.3072,0.0405,1.9456,1.6651,5.4748,1,"2.188",0.172,5.8667,0.1718,4,"Neutral","Face",1351,4,"f",19,"ru",1,5.4748,0.7256805821323725,"R",FALSE
"004f19ru",5,1,2.875,0.3007,0.0381,1.8308,1.5819,5.5033,1,"2.188",0.2736,5.6447,0.2373,5,"Disgust","Face",1351,4,"f",19,"ru",1,5.5033,0.7212610795488558,"R",FALSE
"004f19ru",6,0,NA,0,0.006,0.2869,0.3529,5.5066,0,NA,0,5.8941,0,6,"Fear","Face",1351,4,"f",19,"ru",1,5.5066,0.5995358053309262,"R",FALSE
"004f19ru",7,1,3.688,0.0189,0.003,0.1419,0.199,5.4978,1,"3.563",0.1977,5.5968,0.002,7,"Surprise","Face",1351,4,"f",19,"ru",1,5.4978,0.5593866859813431,"R",FALSE
"004f19ru",8,1,2.5,0.0614,0.0081,0.3908,0.3237,5.4966,0,NA,0,5.6697,0.0083,5,"Disgust","Face",1351,4,"f",19,"ru",2,5.4966,0.6178008505674119,"R",FALSE
"004f19ru",9,1,2,0.2798,0.0364,1.7464,1.5627,5.5129,1,"1.5",0.2097,5.7719,0.2097,6,"Fear","Face",1351,4,"f",19,"ru",2,5.5129,0.7179763491105157,"R",FALSE
"004f19ru",10,1,3.187,0.0805,0.0085,0.4058,0.399,5.4708,1,"2.687",0.0801,5.4989,0.0415,2,"Happy","Face",1351,4,"f",19,"ru",2,5.4708,0.6207859691874261,"R",FALSE
"004f19ru",13,1,2.75,0.0975,0.0136,0.6535,0.3008,5.0737,0,NA,0,5.3062,1e-4,1,"Anger","Face",1351,4,"f",19,"ru",2,5.0737,0.6506596733735279,"R",FALSE
"004f19ru",14,2,1.187,0.0213,0.0052,0.2486,0.0927,4.9441,0,NA,0,5.0704,0,4,"Neutral","Face",1351,4,"f",19,"ru",2,4.9441,0.5910174916346509,"R",FALSE
"004f19ru",16,4,1.25,0.0812,0.0085,0.4086,0.1899,4.7989,0,NA,0,5.0597,0,2,"Happy","Face",1351,4,"f",19,"ru",3,4.7989,0.6207859691874261,"R",FALSE
"004f19ru",18,2,1.75,0.382,0.037,1.7746,1.0124,4.7483,1,"1.125",0.3224,4.8637,0.214,4,"Neutral","Face",1351,4,"f",19,"ru",3,4.7483,0.7191511386299799,"R",FALSE
"004f19ru",19,2,1.438,0.0268,0.0043,0.2057,0.1822,4.7356,0,NA,0,4.9052,0.001,7,"Surprise","Face",1351,4,"f",19,"ru",3,4.7356,0.579891637015915,"R",FALSE
"004f19ru",20,0,NA,0,0.0014,0.0671,0.12,4.5994,0,NA,0,4.6045,0.0018,5,"Disgust","Face",1351,4,"f",19,"ru",3,4.5994,0.5183377074635478,"R",FALSE
"004f19ru",22,3,1.563,0.0357,0.0045,0.2163,0.0914,4.3456,0,NA,0,4.4081,0,1,"Anger","Face",1351,4,"f",19,"ru",4,4.3456,0.5825339638400141,"R",FALSE
"004f19ru",23,2,1.125,0.1679,0.0159,0.7613,0.6468,4.2774,0,NA,0,4.3978,0.1236,4,"Neutral","Face",1351,4,"f",19,"ru",4,4.2774,0.6609060271249483,"R",FALSE
"004f19ru",24,0,NA,0,0.0061,0.2907,0.3208,4.28,0,NA,0,4.407,0.023,5,"Disgust","Face",1351,4,"f",19,"ru",4,4.28,0.6005276156373988,"R",FALSE
"004f19ru",26,0,NA,0,0.0105,0.5061,0.4152,4.1532,0,NA,0,4.2604,0.0809,2,"Happy","Face",1351,4,"f",19,"ru",4,4.1532,0.634043317857943,"R",FALSE
"004f19ru",27,0,NA,0,0.0022,0.1079,0.1485,4.1286,0,NA,0,4.1888,0,3,"Sad","Face",1351,4,"f",19,"ru",4,4.1286,0.5423033260843296,"R",FALSE
"004f19ru",28,1,1.438,0.01,0.0027,0.1291,0.0624,4.113,0,NA,0,4.2088,0,6,"Fear","Face",1351,4,"f",19,"ru",4,4.113,0.5535238985626912,"R",FALSE
"004f19ru",30,2,2.187,0.0343,0.0046,0.2202,0.1345,3.9162,0,NA,0,3.9425,0.0033,2,"Happy","Face",1351,4,"f",19,"ru",5,3.9162,0.5838157178668162,"R",FALSE
"004f19ru",32,2,1.562,0.0573,0.0082,0.3944,0.2008,3.8308,0,NA,0,4.0151,3e-4,4,"Neutral","Face",1351,4,"f",19,"ru",5,3.8308,0.6185593631872272,"R",FALSE
"004f19ru",33,1,3.312,0.025,0.0047,0.2258,0.13,3.8273,0,NA,0,3.9117,0,5,"Disgust","Face",1351,4,"f",19,"ru",5,3.8273,0.5850726350222432,"R",FALSE
"004f19ru",35,2,2.313,0.0619,0.0113,0.5427,0.4295,3.8911,0,NA,0,4.3764,0,1,"Anger","Face",1351,4,"f",19,"ru",5,3.8911,0.6387160718666474,"R",FALSE
"004f19ru",36,2,1.312,0.0369,0.0059,0.2841,0.1908,4.0916,0,NA,0,4.206,0.0068,6,"Fear","Face",1351,4,"f",19,"ru",6,4.0916,0.5985290047172678,"R",FALSE
"004f19ru",38,1,3.875,0.2307,0.0181,0.8669,1.0677,4.0452,1,"3",0.249,4.0684,0.0689,7,"Surprise","Face",1351,4,"f",19,"ru",6,4.0452,0.6695266330923515,"R",FALSE
"004f19ru",39,1,2.5,0.2976,0.0398,1.9087,1.5958,4.125,0,NA,0,4.3855,0.2775,1,"Anger","Face",1351,4,"f",19,"ru",6,4.125,0.724416455877311,"R",FALSE
"004f19ru",41,1,1.688,0.1343,0.0182,0.8731,0.6687,4.2366,1,"1",0.1293,4.3187,0.1293,3,"Sad","Face",1351,4,"f",19,"ru",6,4.2366,0.6698956208632597,"R",FALSE
"004f19ru",42,1,3.25,0.0218,0.0022,0.1061,0.1871,4.2106,1,"3.25",0.0157,4.2497,0.005,5,"Disgust","Face",1351,4,"f",19,"ru",6,4.2106,0.5423033260843296,"R",FALSE
"004f19ru",43,1,1.938,0.4923,0.0704,3.379,3.2455,4.6661,1,"1.313",0.613,5.0475,0.507,11,"Neutral","Word",1351,4,"f",19,"ru",1,4.6661,0.7669327186684981,"R",FALSE
"004f19ru",44,3,1,0.2341,0.0284,1.3629,0.8741,4.9804,1,"1.812",0.1638,5.2265,0.1517,14,"Surprise","Word",1351,4,"f",19,"ru",1,4.9804,0.7003769328381938,"R",FALSE
"004f19ru",45,1,2.563,0.3984,0.0517,2.4811,2.2626,5.0939,1,"1.938",0.3868,5.275,0.3728,12,"Disgust","Word",1351,4,"f",19,"ru",1,5.0939,0.7436165626758237,"R",FALSE
"004f19ru",46,1,1.687,0.3889,0.0447,2.1475,2.5003,5.1424,0,NA,0,5.5368,0.3522,8,"Anger","Word",1351,4,"f",19,"ru",1,5.1424,0.7328764261479194,"R",FALSE
"004f19ru",47,1,2,0.1193,0.0194,0.9298,0.8727,5.3007,1,"1.938",0.0182,5.8127,0.0182,13,"Fear","Word",1351,4,"f",19,"ru",1,5.3007,0.6741866879788629,"R",FALSE
"004f19ru",48,1,1.562,0.0448,0.0091,0.4357,0.4446,5.5951,0,NA,0,5.9052,0.0024,9,"Happy","Word",1351,4,"f",19,"ru",1,5.5951,0.6250347151514541,"R",FALSE
"004f19ru",50,3,1.25,0.4211,0.053,2.544,1.5267,5.7623,1,"2.063",0.5149,6.0849,0.2606,8,"Anger","Word",1351,4,"f",19,"ru",2,5.7623,0.7454655648340189,"R",FALSE
"004f19ru",51,2,2.125,0.6329,0.0758,3.6384,3.6673,5.9078,1,"2.875",0.5032,6.3687,0.3141,11,"Neutral","Word",1351,4,"f",19,"ru",2,5.9078,0.7726217336337492,"R",FALSE
"004f19ru",52,1,3.125,0.0256,0.0015,0.0712,0.2065,6.1743,0,NA,0,6.6758,9e-4,12,"Disgust","Word",1351,4,"f",19,"ru",2,6.1743,0.5219262330470332,"R",FALSE
"004f19ru",53,1,2.313,0.3872,0.0499,2.3951,2.2255,6.2898,1,"1.625",0.357,6.5209,0.357,9,"Happy","Word",1351,4,"f",19,"ru",2,6.2898,0.7409860886437014,"R",FALSE
"004f19ru",54,1,2,0.36,0.0466,2.2379,2.1003,6.2644,1,"1.437",0.303,6.5256,0.303,13,"Fear","Word",1351,4,"f",19,"ru",2,6.2644,0.7359335322421146,"R",FALSE
"004f19ru",55,2,2.5,0.1037,0.0114,0.5487,0.3961,6.2113,0,NA,0,6.5705,0,14,"Surprise","Word",1351,4,"f",19,"ru",2,6.2113,0.6392790689262835,"R",FALSE
"004f19ru",56,0,NA,0,0.0012,0.058,0.0509,6.157,0,NA,0,6.258,0,10,"Sad","Word",1351,4,"f",19,"ru",2,6.157,0.510408766058867,"R",FALSE
"004f19ru",57,1,2.313,0.0379,0.0057,0.2742,0.2219,6.0442,0,NA,0,6.0572,0.0094,14,"Surprise","Word",1351,4,"f",19,"ru",3,6.0442,0.5964684621071551,"R",FALSE
"004f19ru",58,2,2.25,0.0388,0.008,0.3828,0.2025,5.8766,0,NA,0,5.9353,0.0048,11,"Neutral","Word",1351,4,"f",19,"ru",3,5.8766,0.6170338627200096,"R",FALSE
"004f19ru",60,3,1.188,0.1218,0.0128,0.6141,0.3421,5.7168,0,NA,0,5.9435,0.002,8,"Anger","Word",1351,4,"f",19,"ru",3,5.7168,0.6467270065773574,"R",FALSE
"004f19ru",63,2,1.5,0.4734,0.056,2.6884,1.6246,5.5168,0,NA,0,5.8047,0.4069,13,"Fear","Word",1351,4,"f",19,"ru",3,5.5168,0.7495814020799414,"R",FALSE
"004f19ru",64,1,3.375,0.2417,0.0253,1.2128,1.2295,5.655,1,"2.875",0.1939,5.8418,0.117,8,"Anger","Word",1351,4,"f",19,"ru",4,5.655,0.6923282484747163,"R",FALSE
"004f19ru",65,2,2.187,0.0379,0.005,0.2421,0.1158,5.6908,0,NA,0,5.9359,0,12,"Disgust","Word",1351,4,"f",19,"ru",4,5.6908,0.5887040186524746,"R",FALSE
"004f19ru",66,1,1.688,0.0102,0.0012,0.0576,0.1005,5.6002,0,NA,0,5.6387,0,9,"Happy","Word",1351,4,"f",19,"ru",4,5.6002,0.510408766058867,"R",FALSE
"004f19ru",67,2,1.875,0.0569,0.008,0.3851,0.2077,5.4927,1,"1.437",0.0146,5.549,0.0153,11,"Neutral","Word",1351,4,"f",19,"ru",4,5.4927,0.6170338627200096,"R",FALSE
"004f19ru",69,0,NA,0,0.002,0.0951,0.0666,5.29,0,NA,0,5.2962,0,10,"Sad","Word",1351,4,"f",19,"ru",4,5.29,0.5371591767636877,"R",FALSE
"004f19ru",70,1,1.875,0.0254,0.0034,0.1646,0.0902,5.1598,0,NA,0,5.1849,0,14,"Surprise","Word",1351,4,"f",19,"ru",4,5.1598,0.5664321451693969,"R",FALSE
"004f19ru",71,0,NA,0,0.0018,0.0841,0.0595,5.046,0,NA,0,5.0664,0,9,"Happy","Word",1351,4,"f",19,"ru",5,5.046,0.531529350129865,"R",FALSE
"004f19ru",72,1,2.438,0.0109,0.0035,0.1694,0.073,4.9281,0,NA,0,4.9581,0,10,"Sad","Word",1351,4,"f",19,"ru",5,4.9281,0.5680764745403294,"R",FALSE
"004f19ru",73,1,3.687,0.355,0.0313,1.5039,1.5144,4.8417,1,"2.687",0.4336,4.867,0.1556,8,"Anger","Word",1351,4,"f",19,"ru",5,4.8417,0.7072198368952853,"R",FALSE
"004f19ru",74,2,1.25,0.0313,0.0043,0.2079,0.145,4.9356,0,NA,0,5.124,1e-4,13,"Fear","Word",1351,4,"f",19,"ru",5,4.9356,0.579891637015915,"R",FALSE
"004f19ru",77,0,NA,0,0.0012,0.0572,0.0346,4.7444,0,NA,0,4.763,0,14,"Surprise","Word",1351,4,"f",19,"ru",5,4.7444,0.510408766058867,"R",FALSE
"004f19ru",79,1,3.375,0.0172,0.0024,0.1151,0.0997,4.6202,0,NA,0,4.642,0.0027,14,"Surprise","Word",1351,4,"f",19,"ru",6,4.6202,0.5470425705077887,"R",FALSE
"004f19ru",82,1,3.938,0.1953,0.0098,0.4697,0.8056,4.3987,1,"3.25",0.1984,4.4012,0.0335,8,"Anger","Word",1351,4,"f",19,"ru",6,4.3987,0.6296839265817313,"R",FALSE
"004f19ru",83,1,2.875,0.1297,0.0174,0.8345,0.6294,4.4168,1,"2.313",0.106,4.54,0.0852,13,"Fear","Word",1351,4,"f",19,"ru",6,4.4168,0.6668911049922771,"R",FALSE
"006m19ru",1,1,1.688,5.4464,0.6037,28.9753,42.189,27.1416,1,"1.25",2.7413,36.0712,2.7774,1,"Anger","Face",1352,6,"m",19,"ru",1,27.1416,0.950784553598029,"R",FALSE
